time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all
9:49:51,3/19/2023,1,CC,M,M076,,,FUN,,,R,NA,No Value,Intro,PE,Ejac,10,6,2,8
10:00:58,3/19/2023,1,CC,Ag,M252,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:21:14,3/19/2023,1,CC,Ag,M026,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:30:57,3/19/2023,1,CC,Ag,M198,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:31:05,3/19/2023,2,AK,M,M062,,,FUN,,,R,NA,No Value,NoIntro,PE,NoEjac,3,0,0,0
10:37:40,3/19/2023,2,AK,Ag,M180,M007,FUN,M199,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:43:17,3/19/2023,2,AK,Ag,M041,M247,,M199,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
10:57:54,3/19/2023,1,CC,Ag,M080,,,FUN,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
10:59:14,3/19/2023,1,CC,Ag,M006,,,M162,FUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
11:09:55,3/19/2023,1,CC,Ag,M100,,,FUN,JVUN,,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value
11:11:47,3/19/2023,2,AK,M,M245,,,FUN,,,CoAg,NA,No Value,NA,NA,NA,3,1,1,2
11:16:57,3/19/2023,1,CC,Ag,M145,M026,M105,FUN,FUN,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
11:17:45,3/19/2023,1,CC,Ag,M105,M242,M027,M042,,,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value
11:28:52,3/19/2023,1,CC,M,M242,,,FUN,,,R,NA,No Value,NA,NA,NA,6,3,0,7
11:43:42,3/19/2023,2,AK,M,M036,,,FUN,,,T,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
12:05:51,3/19/2023,2,AK,M,M180,,,FUN,,,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value
