time,date,group,obs,action,actor1,actor2,actor3,recipient1,recipient2,recipient3,context,response,agg_supp,intromission,pe,ejaculation,thrust_number,prox_10m_af,prox_10m_ef,prox_10m_all,notes,IOR
7:59:03,3/21/2023,2,AK,Ag,M187,M063,NA,M155,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:17:45,3/21/2023,2,AK,Ag,M063,NA,NA,M187,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:21:17,3/21/2023,1,CC,Ag,M161,M090,NA,M013,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:36:45,3/21/2023,2,AK,Ag,M187,NA,NA,M193,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:39:05,3/21/2023,1,CC,Ag,M145,NA,NA,M221,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:39:56,3/21/2023,1,CC,Ag,M066,M303,M303,M162,M143,NA,NA,NA,AS-RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:43:07,3/21/2023,2,AK,Ag,M227,NA,NA,M035,M077,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
8:46:53,3/21/2023,1,CC,M,M013,NA,NA,M014,NA,NA,Ag,NA,No Value,NA,NA,NA,3,3,0,5,NA,NA
8:47:34,3/21/2023,1,CC,Ag,M141,M221,NA,M162,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:04:38,3/21/2023,1,CC,Ag,M116,NA,NA,M202,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:07:32,3/21/2023,1,CC,Ag,M105,NA,NA,M143,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:09:01,3/21/2023,1,CC,Ag,M143,M074,NA,M105,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:15:47,3/21/2023,1,CC,Ag,M026,NA,NA,M022,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:19:18,3/21/2023,2,AK,Ag,M028,NA,NA,M183,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
9:49:19,3/21/2023,2,AK,Ag,M206,M309,NA,M125,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:03:13,3/21/2023,2,AK,Ag,M187,NA,NA,M225,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:03:51,3/21/2023,2,AK,Ag,M063,NA,NA,M187,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:06:07,3/21/2023,1,CC,Ag,M027,NA,NA,M064,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:07:09,3/21/2023,1,CC,Ag,M027,NA,NA,M064,M049,NA,NA,NA,RS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:28:19,3/21/2023,2,AK,Ag,M180,M303,NA,M138,NA,NA,NA,NA,AS,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
10:46:04,3/21/2023,2,AK,M,M227,NA,NA,M246,NA,NA,Gr,NA,No Value,NoIntro,NoPE,NoEjac,2,1,1,5,NA,NA
10:54:02,3/21/2023,1,CC,Ag,M140,NA,NA,M143,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
11:27:12,3/21/2023,2,AK,M,M225,NA,NA,M262,NA,NA,CoAg,NA,No Value,Intro,PE,NoEjac,7,0,0,1,NA,NA
11:29:02,3/21/2023,2,AK,M,M225,NA,NA,M262,NA,NA,CoAg,NA,No Value,NoIntro,PE,NoEjac,6,0,0,1,NA,NA
12:43:54,3/21/2023,2,AK,Ag,M043,NA,NA,M031,NA,NA,NA,NA,No Value,NA,NA,NA,No Value,No Value,No Value,No Value,NA,NA
